sn_collateral_address,number_of_fee_paying_transactions
tPcnadcTDQKSQPvvLCZQszy3iKmqVQV4qAr,696
tPSVBXJoVUpKLN2LiqeaUoHBfpKLjMh1pUy,766
tPW3X1XqtXkrge1vh5Yn6FjXTvVCNnzqScX,1201
tPZQgLcAddTFCSiF8ibdFnu71NenApfWBNy,278
tPdL5S3BGovdDrZB5uGrYYLvcu8iB2LpHbo,232
tPeYpXF4K8bhKJsfBS3xfZg4XTDmFGjPVR8,262
tPmhdfgWYeSbRiErSCbrnhUU6bU8Ywbqqa6,914
tPSwgwTiSG8wPCe6oWrsf9VTYdNnm2hs39n,1020
tPndwkwhZEkmrvySXEUazsEXRvkzfEbQ8kv,1022
tPRXK5RChgVwsW35XefnKyK9jdkGY33F846,196
tPeGHSCeNE64ng9t8qKPySz13PF42Sz4chC,279
tPjXRMG8TBqcbf89wSPT7cu9TGraWtZyTDM,252
tPVBTRtzrK2gxpJcJsUVcdWd4ragzaqsyet,460
tPa24BM14Ad3KKp79CYq4HGFAbn1thkXMoE,287
tPmKGnEeuAFEPP9uFdJRkVJJQLmLw12pgcA,270
tPfKwtVnFt8pfoqYmENoXfuSBxhcJUgK5yE,240
tPbTPKnSkM1TYNXVax4UY9eCYA9HqoCw3xQ,1013
tPXtoLaeWMajdNZcb6ywQDAhqXcgbjSJcPW,901
tPY33HTMMuevk696mHpp7MrN1ndUNSwtWGN,877
tPZNgwoaUvFvTTtLGYjXMrRMXuV4buFwJmd,765
tPo1pA626TuotRtf392vDH85K9tg54m5K1m,891
tPcvsW4LDXC48aJssPCoPdPjj7VwQsioSfg,764
tPpSVqy2ws8o3Dh1B9XTtE51MnuY5U4pEyH,245
tPTRwH7qT5NtjGLg331iWV9FQ6KSjb5nQXm,212
tPVNeRZCYWs8g1TDkiasWYvSSW2s1MYMTTy,228
tPUCnokEDZpKJx1k4KoEC3qvVkZemfcuy2t,184
tPSHXb1zy4D1Lks55mxergDTSKEPnzAMLe7,938
tPj7nQGGwVNE2mz89bbS3SEXyeKZuCDfhdJ,28
tPVKNT2tEXV5h53s1RD3LLBRuU7CgBqaeTi,1067
tPkdaaQ7weDwQi8XttVwewFAe3upsCjuVCz,1017
tPd5qgTjpdJQS48NTPmvG6qYwRch64RFxeF,965
tPX7gmMjErHz8rMySTn7J1xXiygsRS5jijX,1149
tPX4QcMujNY1u6xUzZRz4kXDhYLLDpAaNMY,964
tPfNXaagE9GGeL8j2hEsKz8kCKbxKSuXJLo,213
tPVSfnEsRg14Wmwb9hiyt1LJUcA7uGgqhbq,238
tPfv6xwMgPfmjsfBhJLyjmcdVRsKyib6S6V,33
tPVVtzSBPZJS3G4z4tC4qfpsybfjEic38PZ,188
tPaupzrJfBjgzbRkSrzNBagiWH9jppQKiCv,52
tPgUdy94iNQ5xMordtteMqEq2ur9r6KV5Ey,11
